          40          36
  0.700000000000000       0.800000000000000       0.900000000000000     
   1.00000000000000        1.10000000000000        1.20000000000000     
   1.30000000000000        1.40000000000000        1.60000000000000     
   1.80000000000000        2.00000000000000        2.20000000000000     
   2.40000000000000        2.60000000000000        2.80000000000000     
   3.00000000000000        3.30000000000000        3.60000000000000     
   3.90000000000000        4.20000000000000        4.50000000000000     
   4.80000000000000        5.10000000000000        5.40000000000000     
   5.70000000000000        6.10000000000000        6.50000000000000     
   6.90000000000000        7.30000000000000        7.70000000000000     
   8.10000000000000        8.50000000000000        8.90000000000000     
   9.30000000000000        9.70000000000000        10.1000000000000     
   10.5000000000000        10.9000000000000        11.3000000000000     
   11.7000000000000     
   1.00000000000000        1.10000000000000        1.20000000000000     
   1.30000000000000        1.40000000000000        1.50000000000000     
   1.60000000000000        1.70000000000000        1.90000000000000     
   2.10000000000000        2.30000000000000        2.50000000000000     
   2.70000000000000        2.90000000000000        3.10000000000000     
   3.30000000000000        3.50000000000000        3.70000000000000     
   4.00000000000000        4.30000000000000        4.60000000000000     
   4.90000000000000        5.20000000000000        5.50000000000000     
   5.90000000000000        6.30000000000000        6.70000000000000     
   7.10000000000000        7.50000000000000        7.90000000000000     
   8.30000000000000        8.70000000000000        9.10000000000000     
   9.50000000000000        9.90000000000000        10.3000000000000     
010101 -99.19526290 -98.90333849
010204 -99.72271106 -99.42261415
  F,  0.467772613902E+00,  0.527308431881E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010205 -99.76565337 -99.46262378
  F,  0.553879663320E+00,  0.512823664970E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010206 -99.79244581 -99.48674992
  F,  0.636432598581E+00,  0.484376427639E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010207 -99.81039519 -99.50250703
  F,  0.713183779813E+00,  0.442741242861E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010208 -99.82325527 -99.51374346
  F,  0.782043529470E+00,  0.389051697238E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010209 -99.83280460 -99.52219522
  F,  0.841137027250E+00,  0.324769577236E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010210 -99.83984110 -99.52853640
  F,  0.888855355176E+00,  0.251645069634E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010211 -99.84472102 -99.53299659
  F,  0.923899303035E+00,  0.171669109806E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010212 -99.84760076 -99.53565104
  F,  0.945314741525E+00,  0.870191752148E-01,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010213 -99.84855221 -99.53653126
  F,  0.952518600000E+00,  0.648033516497E-16,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010214 -99.28913923 -98.99746897
  F,  0.207446501127E+00,  0.483133111690E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010215 -99.31965599 -99.02774202
  F,  0.215911218424E+00,  0.486827417191E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.423341600000E+00,  0.000000000000E+00,  0.000000000000E+00
010301 -99.38351862 -99.09199461
  F,  0.238129650000E+00,  0.472570171636E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010302 -99.62576361 -99.33135342
  F,  0.321410053715E+00,  0.506013841959E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010303 -99.75561039 -99.45796151
  F,  0.409144193207E+00,  0.524903667132E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010304 -99.82656857 -99.52552836
  F,  0.498808680825E+00,  0.528696342671E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010305 -99.86703739 -99.56273270
  F,  0.587824608721E+00,  0.517282784576E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010306 -99.89208200 -99.58498328
  F,  0.673631722761E+00,  0.490991266788E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010307 -99.90926623 -99.60009491
  F,  0.753762059924E+00,  0.450577979448E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010308 -99.92201555 -99.61151481
